id_lote,u_blue_445,u_red_670,u_rededge_705,u_rededge_750,u_nir_900,u_wbi_970,u_swir_1240,u_swir_1750,u_swir_2000,u_swir_2200,unc_visible_mean,unc_rededge_mean,unc_nir_mean,unc_swir_mean,su_rededge_proxy,su_swir_proxy,uncertainty_score,uncertainty_class
A36,0.0017531978664919734,0.0006399872363545001,0.0015457578701898456,0.0024002748541533947,0.0019363932078704238,0.00228152796626091,0.0016637163935229182,0.00236569088883698,0.0008509269100613892,0.0011352307628840208,0.0011965925514232367,0.0021039078710600734,0.002108960587065667,0.001216624688822776,74.98017460248502,93.10291595546559,0.0016570177598623558,BAJO
A37,0.001747575239278376,0.0006037174607627094,0.001306053134612739,0.002368687419220805,0.0019410097738727927,0.002264783950522542,0.0016303126467391849,0.0020786894019693136,0.0008255802094936371,0.0009523225016891956,0.0011756463500205427,0.0019178099852676194,0.0021028968621976674,0.001136071785974006,70.36927331999495,92.06636153467298,0.0015626188299696273,MEDIO
A38,0.0016348912613466382,0.0005440448294393718,0.0010460526682436466,0.0020264526829123497,0.001697238301858306,0.0019860388711094856,0.0014277190202847123,0.0018212845316156745,0.0007505416870117188,0.0008368226699531078,0.001089468045393005,0.0016312632942572236,0.0018416385864838958,0.001005027792416513,62.87794295332747,91.33934709939328,0.0013665898877661675,MEDIO
A39,0.0017211668891832232,0.0007015424780547619,0.001532976166345179,0.002106750849634409,0.0017227150965481997,0.002049432136118412,0.001518693403340876,0.0023793571162968874,0.0008628261275589466,0.0012159886537119746,0.0012113546836189926,0.002006361377425492,0.0018860736163333058,0.001199169394870599,76.20513519040294,93.54876511619307,0.0015871592797338963,BAJO
A40,0.001756930723786354,0.0006168284453451633,0.0015331617323681712,0.0024251278955489397,0.0019527057884261012,0.0022993909660726786,0.0016727386973798275,0.0023486046120524406,0.0008444453706033528,0.0011176347034052014,0.0011868795845657587,0.0021022980799898505,0.00212604837724939,0.0012116062571294606,74.42747727843624,93.08046100146159,0.0016555693786358462,BAJO
A41,0.0015165864024311304,0.00053143355762586,0.0008686445653438568,0.0016444229986518621,0.0014355942839756608,0.0016972931334748864,0.0012280481169000268,0.0016346126794815063,0.0006869187345728278,0.000765088654588908,0.0010240099800284952,0.001382560081159075,0.0015664437087252736,0.0008933518353539208,62.7545444648254,91.59218687052518,0.0011916701313263425,ALTO
A42,0.0017581982538104057,0.0006247609853744507,0.001414971542544663,0.0024527066852897406,0.002011043019592762,0.002367792883887887,0.0017070705071091652,0.002287202514708042,0.0008582109003327787,0.0010716510005295277,0.0011914796195924282,0.0020516269141808152,0.0021894179517403245,0.0012123108026571572,75.89392915060012,93.78162564121712,0.001648471277439967,BAJO
A43,0.0016273544169962406,0.0005549731431528926,0.0011075088987126946,0.0020812535658478737,0.0017709105741232634,0.002110816305503249,0.001522237085737288,0.0019416152499616146,0.0007822131155990064,0.0008736180025152862,0.0010911637800745666,0.0017101259048407276,0.0019408634398132563,0.001059356067950527,71.99379986262683,93.15419211070564,0.0014257131590663145,MEDIO
A44,0.0015897806733846664,0.0005344728706404567,0.0010255643865093589,0.0020565418526530266,0.0017656630370765924,0.00209638848900795,0.0015045880572870374,0.0018480984726920724,0.000776677334215492,0.0008252175757661462,0.0010621267720125616,0.0016434015706181526,0.0019310257630422711,0.0010354943224228919,71.11544234510569,93.3122842468435,0.0013879180653020738,MEDIO
A45,0.0014870688319206238,0.0005226127686910331,0.0008097197278402746,0.0016858380986377597,0.001464010332711041,0.0017019972437992692,0.0012110612588003278,0.0014972820645198226,0.0006959406309761107,0.0007071697618812323,0.0010048408003058285,0.001330946630332619,0.001583003788255155,0.0008713905505525569,63.627843349474354,92.49386156536475,0.0011656672140816227,ALTO
