id_lote,Cab_CIre_ugcm2,Cab_NDRE_ugcm2,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,Cab_cls,N_cls,H2O_cls,Efic_cls,Bio_cls,Estres_cls,PC1,PC2,PC3,PC4,PC5,n_px,NDRE_cv,WBI_cv,REIP_cv,hetero_score,REIP_range,re_slope_max,re_slope_wl_nm,uncertainty_score,subzone_critica_pct,score_mean,anomaly_score,anomaly_class,anomaly_flags
A54,34.94785668849945,23.792536580562597,29.37019663453102,39.9,71.7,13.1,74.8,89.4,MEDIO,MEDIO,MEDIO,BAJO,BAJO,ALTO,9.570962,-5.1690226,9.141313,2.0065103,0.24155842,922,1.28,0.33,0.02,0.54,0.35,0.012856235528942137,725.96,0.0015729289773541192,12.8,0.5136,0.8381421646502295,NORMAL,sin_alerta_mayor
A55,65.57973647117613,27.4227446436882,46.50124055743217,92.2,90.1,45.4,86.8,76.3,ALTO,ALTO,ALTO,ALTO,MEDIO,BAJO,-16.308252,-4.875437,-2.8194687,2.6373897,1.6739781,2922,2.26,0.69,0.05,1.0,0.59,0.01085038160227,735.98,0.0012930633519620946,0.24,0.9517,1.2771134919834994,NORMAL,sin_alerta_mayor
A56,66.92301831245422,27.366106402873992,47.14456235766411,97.9,100.0,33.1,85.3,80.3,ALTO,ALTO,ALTO,MEDIO,MEDIO,MEDIO,-15.963079,-6.592291,0.9620667,4.31671,2.106771,1621,2.1,1.15,0.06,1.1,0.68,0.011413961818237665,735.98,0.0013074734267623472,0.49,0.9748,1.4707370250994178,ATIPICO,sin_alerta_mayor
A57,52.98598909378052,25.847512519359583,39.41675080657005,67.8,59.9,33.0,86.4,84.1,ALTO,ALTO,BAJO,MEDIO,MEDIO,MEDIO,-16.218557,-0.7433948,-0.9750334,-0.9302644,0.08361874,1208,3.4,1.11,0.12,1.54,1.15,0.00915692215568864,730.97,0.00123767220065929,7.45,0.6652,0.8153652363549652,NORMAL,agua_baja
A58,57.877106189727776,25.75345652103424,41.81528135538101,82.6,82.9,34.7,73.8,84.3,ALTO,ALTO,ALTO,MEDIO,BAJO,MEDIO,-20.63885,4.163991,2.2631128,-0.6267814,-0.36634907,1800,3.5,1.32,0.1,1.64,2.0,0.009117651647729524,735.98,0.001152003725292161,0.22,0.8169,1.2221109487641169,NORMAL,sin_alerta_mayor
A59,28.749361848831175,19.255055558681487,24.00220870375633,29.9,51.7,53.1,44.4,46.7,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO,21.327955,29.181864,-5.156737,-4.194996,-1.5372989,1199,6.95,1.6,0.09,2.88,1.59,0.008524486027944131,725.96,0.001484273129608482,98.5,0.2246,2.6295162156946916,MUY_ATIPICO,"clorofila_muy_baja, agua_baja, funcion_alta, heterogeneidad_alta"
A60,28.8790356874466,22.61107803583145,25.74505686163902,25.6,62.9,37.7,88.8,77.2,BAJO,BAJO,BAJO,ALTO,ALTO,BAJO,19.725447,-2.9077945,-5.896927,-2.2748032,0.63561845,2306,2.18,0.59,0.03,0.93,0.48,0.013030156686626774,725.96,0.0016838507319334893,100.0,0.3694,0.7660482541694412,NORMAL,"N_bajo, subzona_critica_extensa, incertidumbre_alta"
A61,13.85167289972305,10.45979478359222,12.155733841657636,0.0,46.7,100.0,0.0,0.0,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO,16.078892,36.09836,2.1296527,10.141154,1.0974046,963,5.47,0.84,0.08,2.13,1.55,0.006173591816367275,725.96,0.0014419414510484785,100.0,0.0087,4.667291413168041,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, subzona_critica_extensa"
A62,21.2194578886032,14.899647188186645,18.059552538394925,20.8,57.5,92.9,27.1,18.9,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO,12.139551,26.219774,-0.88588125,8.746605,3.0773656,837,6.32,1.03,0.09,2.48,1.73,0.007595058882235547,725.96,0.0014588634124568973,100.0,0.0927,3.4710175179358522,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa"
A63,30.244061422348015,22.394977653026583,26.3195195376873,32.4,72.9,35.9,76.1,75.5,BAJO,MEDIO,ALTO,MEDIO,BAJO,BAJO,18.979418,1.3842057,0.19549842,1.5474523,0.9819735,2366,2.4,0.59,0.02,1.01,0.43,0.012658941117764493,725.96,0.0016689015765829634,88.17,0.432,0.6714585532987367,NORMAL,incertidumbre_alta
A64,61.913007569313045,27.01154550313949,44.46227653622627,81.5,85.5,23.4,84.2,87.9,ALTO,ALTO,ALTO,BAJO,MEDIO,ALTO,-16.622377,-2.4280431,2.7173,0.61967325,0.60032666,4228,4.28,2.46,0.14,2.3,2.8,0.010667464085758568,735.98,0.0012519802704143027,1.66,0.8455,1.3639787802313466,ATIPICO,sin_alerta_mayor
A65,14.328860676288604,11.465738517045974,12.897299596667288,4.5,0.0,93.1,26.8,43.6,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO,-13.141202,30.622946,-5.7082367,-9.777129,2.712149,3244,6.31,1.11,0.05,2.49,0.82,0.0036725858283433183,720.95,0.0010562521255148265,100.0,0.0004,3.9921157047334157,MUY_ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa"
A66,30.391531538963307,22.29827233552933,26.34490193724632,31.7,66.3,18.4,75.0,92.7,BAJO,BAJO,MEDIO,BAJO,BAJO,ALTO,13.752256,-1.7512804,11.643693,0.37006316,1.6503294,6017,5.19,1.15,0.08,2.14,1.18,0.012369842315369282,725.96,0.0015683642607958366,86.21,0.4009,0.9246202230255293,NORMAL,sin_alerta_mayor
